mode,pass_index,direction,phase,elapsed_s,esc_pulse_us,esc_tick,signed_speed_mps,raw_ds_m,raw_dyaw_rad,fresh_odom,leg_motion_m,clearance_m,controller_state,recovery_count
decay,1,forward,closed_loop,5.9806,1403.430,1132,0.007288,0.0009414,-0.0019099,1,0.186467,1.445,recovery,1
decay,1,forward,closed_loop,5.9957,1403.430,1132,0.007288,,,0,0.186467,1.445,recovery,1
decay,1,forward,closed_loop,6.0173,1403.430,1132,0.007288,,,0,0.186467,1.445,recovery,1
decay,1,forward,closed_loop,6.0389,1403.430,1132,0.007288,,,0,0.186467,1.445,recovery,1
decay,1,forward,closed_loop,6.0606,1403.430,1132,0.007288,,,0,0.186467,1.447,recovery,1
decay,1,forward,closed_loop,6.0784,1400.330,1129,0.006957,0.0006048,-0.0009359,1,0.187072,1.447,recovery,1
decay,1,forward,closed_loop,6.0950,1400.330,1129,0.006957,,,0,0.187072,1.447,recovery,1
decay,1,forward,closed_loop,6.1167,1400.330,1129,0.006957,,,0,0.187072,1.447,recovery,1
decay,1,forward,closed_loop,6.1382,1400.330,1129,0.006957,,,0,0.187072,1.447,recovery,1
decay,1,forward,closed_loop,6.1597,1400.330,1129,0.006957,,,0,0.187072,1.447,recovery,1
decay,1,forward,closed_loop,6.1793,1397.230,1127,0.016286,0.0043082,0.0010177,1,0.191380,1.447,recovery,1
decay,1,forward,closed_loop,6.1941,1397.230,1127,0.016286,,,0,0.191380,1.447,recovery,1
decay,1,forward,closed_loop,6.2157,1397.230,1127,0.016286,,,0,0.191380,1.447,recovery,1
decay,1,forward,closed_loop,6.2373,1397.230,1127,0.016286,,,0,0.191380,1.447,recovery,1
decay,1,forward,closed_loop,6.2588,1397.230,1127,0.016286,,,0,0.191380,1.457,recovery,1
decay,1,forward,closed_loop,6.2794,1394.130,1124,0.036695,0.0098962,0.0011503,1,0.201276,1.457,recovery,1
decay,1,forward,closed_loop,6.2935,1394.130,1124,0.036695,,,0,0.201276,1.457,recovery,1
decay,1,forward,closed_loop,6.3152,1394.130,1124,0.036695,,,0,0.201276,1.457,recovery,1
decay,1,forward,closed_loop,6.3367,1394.130,1124,0.036695,,,0,0.201276,1.457,recovery,1
decay,1,forward,closed_loop,6.3583,1394.130,1124,0.036695,,,0,0.201276,1.469,recovery,1
decay,1,forward,closed_loop,6.3805,1413.542,1140,0.059850,0.0129340,0.0008729,1,0.214210,1.469,rolling,1
decay,1,forward,closed_loop,6.3974,1413.542,1140,0.059850,,,0,0.214210,1.469,rolling,1
decay,1,forward,closed_loop,6.4192,1413.542,1140,0.059850,,,0,0.214210,1.469,rolling,1
decay,1,forward,closed_loop,6.4407,1413.542,1140,0.059850,,,0,0.214210,1.469,rolling,1
decay,1,forward,closed_loop,6.4623,1413.542,1140,0.059850,,,0,0.214210,1.492,rolling,1
decay,1,forward,closed_loop,6.4824,1411.519,1138,0.112208,0.0272796,-0.0037463,1,0.241490,1.492,rolling,1
decay,1,forward,closed_loop,6.5026,1411.519,1138,0.112208,,,0,0.241490,1.492,rolling,1
decay,1,forward,closed_loop,6.5244,1411.519,1138,0.112208,,,0,0.241490,1.492,rolling,1
decay,1,forward,closed_loop,6.5465,1411.519,1138,0.112208,,,0,0.241490,1.492,rolling,1
decay,1,forward,closed_loop,6.5682,1411.519,1138,0.112208,,,0,0.241490,1.519,rolling,1
